key	zh	en	es	fr	de	it	ja	ko	pt-BR	ru
Achievements/AC01_DESC	击败默哀守望者	Defeat the Warden of Silent Sorrow.	Vence al Guardián del Lamento Mudo.	Tuer le Gardien du Chagrin silencieux.	Besiegt den Wart der Stummen Trauer.	Sconfiggi il Guardiano del Lamento silente.	黙する悲哀の番人を倒す。	침묵하는 비탄의 파수꾼을 처치한다	Derrote o Guardião do Pesar Silencioso.	Победите Хранителя безмолвной печали.
Achievements/AC01_NAME	前途漫漫	A Long Path Ahead	Un largo camino por delante	Un long chemin à parcourir	Ein weiter Weg	Un Lungo Cammino	長き道の幕開け	긴 여정의 시작	Um longo caminho à frente	Долгий путь впереди
Achievements/AC02_DESC	击败特彼达德	Defeat Ten Piedad.	Vence a Ten Piedad.	Vaincre Ten Piedad.	Besiegt Ten Piedad.	Sconfiggi Ten Piedad.	慈悲を施す者を倒す。	텐 피에다드를 처치한다	Derrote Ten Piedad	Победите Тен Пьедад.
Achievements/AC02_NAME	绝无悲悯	No Mercy	Sin piedad	Sans pitié	Kein Erbarmen	Nessuna Pietà	無慈悲	무자비	Sem misericórdia	Без пощады
Achievements/AC03_DESC	击败焦容圣母	Defeat Our Lady of the Charred Visage.	Vence a Nuestra Señora de la Faz Denegrida.	Vaincre Notre Dame au Visage calciné.	Besiegt Unsere Dame mit dem verbrannten Antlitz.	Sconfiggi Nostra Signora dal Volto sfigurato.	焦貌の聖女を倒す。	불탄 얼굴의 성모를 처치한다	Derrote a Nossa Senhora da Face Chamuscada.	Победите Владычицу нашу с ликом опаленным.
Achievements/AC03_NAME	无面者	Look her in the eye	Mírala cara a cara	Dans les yeux	Schaut ihr in die Augen	Faccia a Faccia	その眼を見よ	가면 속의 눈동자	Olhe-a nos olhos	Лицом к лицу
Achievements/AC04_DESC	击败特雷斯·安古斯塔斯	Defeat the Tres Angustias.	Vence a Tres Angustias.	Vaincre les Tres Angustias.	Besiegt die Tres Angustias.	Sconfiggi Tres Angustias.	三苦悶を倒す。	세 명의 비통을 처치한다	Derrote as Tres Angustias	Победите Трес Ангустьяс.
Achievements/AC04_NAME	悚然之舞	Danse Macabre	Danza macabra	Danse macabre	Totentanz	Danza Macabra	死の舞踊	죽음의 무도	Dança macabra	Пляска смерти
Achievements/AC05_DESC	击败圣膏军的埃达斯	Defeat Esdras of the Anointed Legion.	Vence a Esdras, de la Legión Ungida.	Vaincre Esdras, de la Légion ointe.	Besiegt Esdras von der Gesalbten Legion.	Sconfiggi Esdras della Legione unta.	聖別軍エズドラスを倒す。	기름 부은 자들의 군단 에스드라스를 처치한다	Derrote Esdras, da Legião Ungida	Победите Эсдраса из Миропомазанного легиона.
Achievements/AC05_NAME	兄弟	The Brother	El hermano	Le Frère	Der Bruder	Il Fratello	兄	형제	O irmão	Брат
Achievements/AC06_DESC	击败梅尔基亚德斯，掘墓大主教	Defeat Melquiades, The Exhumed Archbishop.	Vence a Melquíades, El Arzobispo Exhumado.	Vaincre Melquíades, l'Archevêque exhumé.	Besiegt Melquíades, den Exhumierten Erzbischof.	Sconfiggi Melquíades, l'Arcivescovo esumato.	埋葬の大司教メルキアデスを倒す。	무덤에서 파낸 대주교 멜키아데스를 처치한다	Derrote Melquíades, o Arcebispo Exumado.	Победите Мелькиадеса, выкопанного архиепископа.
Achievements/AC06_NAME	珠宝圣徒	The Bejeweled Saint	El santo enjoyado	Le Saint ornementé	Der Juwelenheilige	Santo ingioiellato	宝石の聖者	보석으로 치장한 성자	O santo adornado	Усыпанный драгоценностями святой
Achievements/AC07_DESC	击败弃婴，放逐之裔	Defeat Exposito, Scion of Abjuration.	Vence a Expósito, Vástago de la Abjuración.	Vaincre Expósito, Engeance de l'Abjuration.	Besiegt Expósito, den Spross der Entsagung.	Sconfiggi Expósito, Rampollo dell'Abiura.	放棄の末裔エスポシトを倒す。	개종의 자손 엑스포지토를 처치한다	Derrote Expósito, Herdeiro da Abjuração	Победите Эспозито, наследника отречения.
Achievements/AC07_NAME	盲目无罪者	Blind Innocence	Inocencia ciega	Innocence aveugle	Blinde Unschuld	Innocenza cieca	盲目の純潔	맹목적인 순수	Inocência cega	Слепая невинность
Achievements/AC08_DESC	击败永恒火葬的奎尔斯	Defeat Quirce, Returned by the Flames.	Vence a Quirce, el Devuelto por las Llamas.	Vaincre Quirce, Ramené par les Flammes.	Besiegt Quirce, den Flammenrückkehrer.	Sconfiggi Quirce, il Riemerso dalle Fiamme.	炎による復活者キルセを倒す。	불꽃으로 되돌아온 키르세를 처치한다	Derrote Quirce, Reenviado pelas Chamas.	Победите Кирса, возвращенного пламенем
Achievements/AC08_NAME	尘归尘	Ashes to Ashes	Cenizas a las cenizas	De la poussière à la poussière	Asche zu Asche	Cenere alla Cenere	灰は灰に	재에서 재로	Das cinzas às cinzas	Прах к праху
