key	zh	en	es
Achievements/AC01_DESC	击败默哀守望者	Defeat the Warden of Silent Sorrow.	Vence al Guardián del Lamento Mudo.
Achievements/AC01_NAME	前途漫漫	A Long Path Ahead	Un largo camino por delante
Achievements/AC02_DESC	击败特彼达德	Defeat Ten Piedad.	Vence a Ten Piedad.
Achievements/AC02_NAME	绝无悲悯	No Mercy	Sin piedad
Achievements/AC03_DESC	击败焦容圣母	Defeat Our Lady of the Charred Visage.	Vence a Nuestra Señora de la Faz Denegrida.
Achievements/AC03_NAME	无面者	Look her in the eye	Mírala cara a cara
Achievements/AC04_DESC	击败特雷斯·安古斯塔斯	Defeat the Tres Angustias.	Vence a Tres Angustias.
Achievements/AC04_NAME	悚然之舞	Danse Macabre	Danza macabra
Achievements/AC05_DESC	击败圣膏军的埃达斯	Defeat Esdras of the Anointed Legion.	Vence a Esdras, de la Legión Ungida.
Achievements/AC05_NAME	兄弟	The Brother	El hermano
Achievements/AC06_DESC	击败梅尔基亚德斯，掘墓大主教	Defeat Melquiades, The Exhumed Archbishop.	Vence a Melquíades, El Arzobispo Exhumado.
Achievements/AC06_NAME	珠宝圣徒	The Bejeweled Saint	El santo enjoyado
Achievements/AC07_DESC	击败弃婴，放逐之裔	Defeat Exposito, Scion of Abjuration.	Vence a Expósito, Vástago de la Abjuración.
Achievements/AC07_NAME	盲目无罪者	Blind Innocence	Inocencia ciega
Achievements/AC08_DESC	击败永恒火葬的奎尔斯	Defeat Quirce, Returned by the Flames.	Vence a Quirce, el Devuelto por las Llamas.
Achievements/AC08_NAME	尘归尘	Ashes to Ashes	Cenizas a las cenizas
Achievements/AC09_DESC	击败克兰莎，束裹之痛.	Defeat Crisanta of the Wrapped Agony.	Vence a Crisanta de la Agonía Vendada.
Achievements/AC09_NAME	弃绝信仰	Duel of Faith	Duelo de fe
Achievements/AC10_DESC	击败埃斯科利巴圣王	Defeat His Holiness Escribar.	Vence a Su Santidad Escribar.
Achievements/AC10_NAME	渎神极致	Summa Blasphemia	Summa Blasphemia
Achievements/AC11_DESC	解锁A结局	Unlock ending A.	Desbloquea el final A.
Achievements/AC11_NAME	信徒之途	The Path of the Believer	El camino del creyente
Achievements/AC12_DESC	解锁B结局	Unlock ending B.	Desbloquea el final B.
Achievements/AC12_NAME	卑者之途	The Path of the Unworthy	El camino del indigno
Achievements/AC13_DESC	释放所有小天使	Release all cherubs.	Libera a todos los querubines.
Achievements/AC13_NAME	公牛与月亮	The Bull and the Moon	El toro y la luna
Achievements/AC14_DESC	发现26具原初死者的遗言	Discover the last words of the 26 original corpses.	Descubre las últimas palabras de los 26 cadáveres del juego base.
Achievements/AC14_NAME	遗言	Last Words	Últimas palabras
Achievements/AC15_DESC	完成所有竞技场挑战	Complete all the arena’s challenges.	Supera todos los desafíos de la arena.
Achievements/AC15_NAME	弃绝联系	Detestatio Sacrorum	Detestatio Sacrorum
Achievements/AC16_DESC	获得13个原初祷文	Get the 13 original prayers.	Consigue los 13 rezos del juego base.
Achievements/AC16_NAME	竭诚奉献	Unwavering Devotion	Devoción firme
Achievements/AC17_DESC	获得7份原初圣物	Get the 7 original relics.	Consigue las 7 reliquias del juego base.
Achievements/AC17_NAME	皮与骨	Skin and Bones	Piel y huesos
Achievements/AC18_DESC	获得30颗诵经念珠	Get the 30 original rosary beads.	Consigue las 30 cuentas de rosario del juego base.
Achievements/AC18_NAME	神秘路西斯	Mysteria Lucis	Mysteria Lucis
Achievements/AC19_DESC	获得44个原初收藏品	Get the 44 original collectibles.	Consigue los 44 coleccionables del juego base.
Achievements/AC19_NAME	藏骨瓮守望者	Warden of the Ossuary	Guardián del osario
Achievements/AC20_DESC	获得9个原初剑之心	Get the 9 original sword hearts.	Consigue los 9 corazones de la espada del juego base.
Achievements/AC20_NAME	心与痕	Heartbreaker	Rompecorazones
Achievements/AC21_DESC	探索古斯托迪亚主要区域	Discover the main areas of Cvstodia.	Descubre las zonas principales de Cvstodia.
Achievements/AC21_NAME	古斯托迪亚的朝圣者	Cvstodia's Pilgrim	Peregrino de Cvstodia
Achievements/AC22_DESC	生命值达到最大值	Achieve maximum health.	Alcanza la capacidad máxima de salud.
Achievements/AC22_NAME	六刺之痛	Six Stinging Pains	Seis dolores afilados
Achievements/AC23_DESC	热情值达到最大值	Achieve maximum fervour.	Alcanza la capacidad máxima de fervor.
Achievements/AC23_NAME	信仰洗礼	Baptism of Faith	Bautismo de fe
Achievements/AC24_DESC	孽刃达到最大等级	Achieve the maximum level of the sword Mea Culpa.	Alcanza el nivel máximo de la espada Mea Culpa.
Achievements/AC24_NAME	孽刃	Mea Culpa	Mea Culpa
Achievements/AC25_DESC	圣水瓶达到最大值	Achieve maximum flask capacity.	Alcanza la capacidad máxima de matraces.
Achievements/AC25_NAME	生命之泉	The Fountain of Life	La fuente de la vida
Achievements/AC26_DESC	诵经念珠空槽达到最大值	Achieve the maximum number of rosary bead slots.	Alcanza la capacidad máxima de huecos para cuentas de rosario.
Achievements/AC26_NAME	恩歌拉夏	Engracia	Engracia
Achievements/AC27_DESC	处决5个不同的敌人	Execute 5 different enemies.	Ejecuta a 5 enemigos diferentes.
Achievements/AC27_NAME	宗教裁判所	Inquisition	Inquisición
Achievements/AC28_DESC	使用5次正义天罚	Use a Righteous Riposte 5 times.	Usa un Riposte Justo 5 veces.
Achievements/AC28_NAME	释放威力	Power Unleashed	Poder liberado
Achievements/AC29_DESC	访问长尾礼服女士之墓	Visit the tomb of the Lady of the Tailed Gown.	Visita la tumba de la Señora de la Bata de Cola.
Achievements/AC29_NAME	污染者之欲	The Desire of the Corrupted	El deseo del corrompido
Achievements/AC30_DESC	将所有供品带给罗德维罗	Bring all the offerings to Lvdovico.	Lleva todas las ofrendas a Lvdovico.
Achievements/AC30_NAME	真正的神龛	True Shrine	Genuino sepulto
